preço,endereço,área,quartos,vagas,bairro
R$ 480.000,Rua Nelson Gama de Oliveira,67 m²,2 quartos,1 vaga, Vila Andrade
R$ 330.000,Rua Marie Nader Calfat,47 m²,2 quartos,1 vaga, Vila Andrade
R$ 500.000,Rua Deputado João Sussumu Hirata,73 m²,2 quartos,2 vagas, Vila Andrade
R$ 690.000,Rua José Ramon Urtiza,135 m²,3 quartos,3 vagas, Vila Andrade
R$ 560.000,Rua José de Oliveira Coelho,69 m²,2 quartos,2 vagas, Vila Andrade
R$ 288.000,Avenida Giovanni Gronchi,54 m²,2 quartos,2 vagas, Vila Andrade
R$ 1.100.000,Rua Itatupa,110 m²,2 quartos,4 vagas, Vila Andrade
R$ 480.000,Rua Marcus Pereira,102 m²,2 quartos,2 vagas, Vila Andrade
R$ 570.000,Rua Alcantarilla,75 m²,2 quartos,2 vagas, Vila Andrade
R$ 1.500.000,Rua David Gebara,45 m²,1 quarto,1 vaga, Vila Andrade
R$ 530.000,Avenida Doutor Guilherme Dumont Villares,98 m²,2 quartos,2 vagas, Vila Andrade
R$ 450.000,Rua Alexandre Benois,76 m²,3 quartos,2 vagas, Vila Andrade
R$ 754.614,Rua Alcantarilla,126 m²,3 quartos,2 vagas, Vila Andrade
R$ 380.000,Rua João Simões de Souza,58 m²,2 quartos,1 vaga, Vila Andrade
"R$ 405.256,8",Rua Domingos Lopes da Silva,40 m²,1 quarto,1 vaga, Vila Andrade
R$ 326.000,Rua Domingos Lopes da Silva,45 m²,1 quarto,1 vaga, Vila Andrade
R$ 395.000,Rua Alexandre Benois,85 m²,3 quartos,2 vagas, Vila Andrade
"R$ 576.200,28",Rua Iubatinga,70 m²,2 quartos,2 vagas, Vila Andrade
R$ 1.480.000,Avenida Giovanni Gronchi,251 m²,3 quartos,4 vagas, Vila Andrade
R$ 660.000,Rua Doutor Oscar Monteiro de Barros,68 m²,2 quartos,2 vagas, Vila Andrade
R$ 370.000,Rua Doutor Carlos Aldrovandi,59 m²,2 quartos,1 vaga, Vila Andrade
R$ 650.000,Rua Domingos Lopes da Silva,125 m²,2 quartos,2 vagas, Vila Andrade
"R$ 2.085.239,06",Rua Charles Spencer Chaplin,291 m²,5 quartos,4 vagas, Vila Andrade
R$ 650.000,Rua Antônio Aggio,120 m²,3 quartos,1 vaga, Vila Andrade
R$ 1.849.900,Rua José Ramon Urtiza,350 m²,5 quartos,6 vagas, Vila Andrade
R$ 355.000,Rua Heitor de Souza Pinheiro,50 m²,2 quartos,1 vaga, Vila Andrade
R$ 289.215,Rua Manoel Antônio Pinto,51 m²,2 quartos,1 vaga, Vila Andrade
"R$ 320.514,95",Rua José Maria Pinto Zilli,50 m²,2 quartos,1 vaga, Vila Andrade
R$ 1.250.000,Rua Professor Alexandre Correia,196 m²,4 quartos,4 vagas, Vila Andrade
R$ 990.000,Rua Karl Richter,225 m²,4 quartos,4 vagas, Vila Andrade
R$ 830.000,Rua Leonardo Cerveira Varandas,146 m²,3 quartos,3 vagas, Vila Andrade
R$ 475.000,Rua Sophia Ambuba,92 m²,3 quartos,2 vagas, Vila Andrade
"R$ 381.665,91",Rua Domingos Lopes da Silva,45 m²,1 quarto,1 vaga, Vila Andrade
"R$ 856.432,95",Rua Charles Spencer Chaplin,126 m²,3 quartos,2 vagas, Vila Andrade
R$ 300.000,Rua Antônio Aggio,46 m²,2 quartos,2 vagas, Vila Andrade
R$ 440.000,Rua Frei Duarte Jorge de Mendonça,60 m²,1 quarto,2 vagas, Vila Andrade
R$ 370.000,Rua Delegado Moraes Novaes,55 m²,2 quartos,2 vagas, Vila Andrade
R$ 850.000,Rua Antônio Aggio,238 m²,5 quartos,3 vagas, Vila Andrade
R$ 2.250.000,Rua Itapaiuna,226 m²,3 quartos,4 vagas, Vila Andrade
R$ 1.600.000,Rua Ascencional,230 m²,3 quartos,4 vagas, Vila Andrade
R$ 740.000,Rua Iupeba,173 m²,3 quartos,3 vagas, Vila Andrade
R$ 620.000,Rua Doutor José de Andrade Figueira,110 m²,3 quartos,3 vagas, Vila Andrade
R$ 1.300.000,Rua Diego de Castilho,240 m²,4 quartos,3 vagas, Vila Andrade
R$ 520.000,Rua Itaiteva,92 m²,2 quartos,1 vaga, Vila Andrade
R$ 1.299.000,Rua Leonardo Cerveira Varandas,146 m²,4 quartos,2 vagas, Vila Andrade
"R$ 348.357,34",Rua Marie Nader Calfat,47 m²,2 quartos,1 vaga, Vila Andrade
R$ 600.000,Rua da Chibata,70 m²,3 quartos,1 vaga, Vila Andrade
R$ 1.500.000,Avenida José Galante,340 m²,5 quartos,5 vagas, Vila Andrade
"R$ 863.256,64",Rua Castelhano,156 m²,3 quartos,2 vagas, Vila Andrade
R$ 950.000,Avenida Giovanni Gronchi,355 m²,3 quartos,3 vagas, Vila Andrade
R$ 349.900,Rua Delegado Moraes Novaes,55 m²,2 quartos,2 vagas, Vila Andrade
R$ 790.000,Rua Doutor James Ferraz Alvim,135 m²,4 quartos,3 vagas, Vila Andrade
R$ 420.000,Rua Alexandre Archipenko,74 m²,3 quartos,2 vagas, Vila Andrade
R$ 300.000,Rua Doutor Laerte Setúbal,67 m²,3 quartos,1 vaga, Vila Andrade
R$ 390.000,Rua Deputado Laércio Corte,68 m²,2 quartos,2 vagas, Vila Andrade
R$ 630.000,Rua Ventura Ladalardo,70 m²,1 quarto,1 vaga, Vila Andrade
R$ 500.000,Rua João Simões de Souza,68 m²,2 quartos,1 vaga, Vila Andrade
R$ 525.000,Rua Alexandre Benois,78 m²,3 quartos,2 vagas, Vila Andrade
R$ 380.000,Rua Antônio Aggio,75 m²,2 quartos,2 vagas, Vila Andrade
R$ 1.000.000,Rua Iubatinga,128 m²,3 quartos,3 vagas, Vila Andrade
R$ 780.000,Rua Aureliano Guimarães,220 m²,3 quartos,4 vagas, Vila Andrade
"R$ 699.577,82",Rua Abdo Ambuba,104 m²,3 quartos,2 vagas, Vila Andrade
R$ 260.000,Rua José Maria Pinto Zilli,50 m²,2 quartos,1 vaga, Vila Andrade
"R$ 541.746,72",Avenida Giovanni Gronchi,86 m²,2 quartos,1 vaga, Vila Andrade
R$ 520.000,Rua Doutor Luiz Migliano,64 m²,3 quartos,1 vaga, Vila Andrade
R$ 423.627,Avenida Giovanni Gronchi,83 m²,3 quartos,2 vagas, Vila Andrade
R$ 495.000,Avenida Giovanni Gronchi,147 m²,2 quartos,3 vagas, Vila Andrade
R$ 405.000,Rua José de Oliveira Coelho,55 m²,2 quartos,1 vaga, Vila Andrade
R$ 1.900.000,Rua Itapimirum,218 m²,3 quartos,3 vagas, Vila Andrade
R$ 390.000,Rua João Simões de Souza,67 m²,2 quartos,1 vaga, Vila Andrade
R$ 750.000,Rua Antônio Aggio,114 m²,4 quartos,2 vagas, Vila Andrade
R$ 2.950.000,Rua Deputado Laércio Corte,445 m²,4 quartos,6 vagas, Vila Andrade
R$ 415.000,Rua José Gonçalves,51 m²,2 quartos,1 vaga, Vila Andrade
R$ 300.000,Rua Marie Nader Calfat,49 m²,2 quartos,1 vaga, Vila Andrade
R$ 980.000,Rua Antônio Aggio,235 m²,4 quartos,4 vagas, Vila Andrade
R$ 670.000,Rua Almansa,110 m²,2 quartos,2 vagas, Vila Andrade
R$ 360.000,Rua João Simões de Souza,48 m²,2 quartos,1 vaga, Vila Andrade
R$ 150.000,Avenida Doutor Guilherme Dumont Villares,110 m²,4 quartos,2 vagas, Vila Andrade
R$ 350.000,Rua Marie Nader Calfat,47 m²,2 quartos,1 vaga, Vila Andrade
R$ 2.580.000,Rua Itapaiuna,241 m²,4 quartos,4 vagas, Vila Andrade
R$ 630.000,Rua Doutor José de Andrade Figueira,89 m²,3 quartos,2 vagas, Vila Andrade
R$ 340.000,Rua Maria José da Conceição,72 m²,2 quartos,2 vagas, Vila Andrade
R$ 563.201,Rua Desembargador Dalmo do Valle Nogueira,67 m²,2 quartos,2 vagas, Vila Andrade
R$ 1.200.000,Rua Deputado João Sussumu Hirata,180 m²,3 quartos,3 vagas, Vila Andrade
R$ 700.000,Rua Marcus Pereira,120 m²,2 quartos,1 vaga, Vila Andrade
R$ 380.000,Rua Almaden,65 m²,2 quartos,1 vaga, Vila Andrade
R$ 749.000,Rua Doutor José de Andrade Figueira,134 m²,4 quartos,3 vagas, Vila Andrade
R$ 520.000,Rua Itaiteva,89 m²,2 quartos,1 vaga, Vila Andrade
R$ 720.000,Rua do Ângulo,122 m²,3 quartos,2 vagas, Vila Andrade
R$ 1.880.148,Rua Frederico Guarinon,322 m²,4 quartos,5 vagas, Vila Andrade
"R$ 452.911,9",Rua Doutor Oscar Monteiro de Barros,73 m²,2 quartos,2 vagas, Vila Andrade
R$ 535.000,Avenida Doutor Guilherme Dumont Villares,87 m²,3 quartos,2 vagas, Vila Andrade
R$ 320.000,Rua Marie Nader Calfat,50 m²,2 quartos,1 vaga, Vila Andrade
R$ 595.000,Rua Antônio Aggio,120 m²,4 quartos,2 vagas, Vila Andrade
R$ 890.000,Rua Raimundo Simão de Souza,180 m²,3 quartos,3 vagas, Vila Andrade
"R$ 1.671.941,21",Rua Diego de Castilho,201 m²,4 quartos,4 vagas, Vila Andrade
R$ 435.000,Rua José Carlos de Toledo Piza,64 m²,2 quartos,1 vaga, Vila Andrade
R$ 530.000,Rua Samia Haddad,84 m²,1 quarto,2 vagas, Vila Andrade
R$ 400.000,Rua Manoel Antônio Pinto,90 m²,2 quartos,2 vagas, Vila Andrade
R$ 360.000,Rua José Carlos de Toledo Piza,64 m²,2 quartos,1 vaga, Vila Andrade
R$ 1.000.000,Rua Professor Hilário Veiga de Carvalho,175 m²,3 quartos,3 vagas, Vila Andrade
R$ 1.125.000,Rua Leonardo Cerveira Varandas,128 m²,3 quartos,2 vagas, Vila Andrade
R$ 770.000,Rua Leonardo Cerveira Varandas,110 m²,2 quartos,3 vagas, Vila Andrade
R$ 1.990.000,Rua Doutor Chibata Miyakoshi,300 m²,4 quartos,4 vagas, Vila Andrade
R$ 490.000,Rua Benedito Faber,67 m²,3 quartos,1 vaga, Vila Andrade
"R$ 1.596.280,49",Rua Abdo Ambuba,223 m²,4 quartos,4 vagas, Vila Andrade
R$ 570.000,Rua Fábio Lopes dos Santos Luz,57 m²,2 quartos,1 vaga, Vila Andrade
R$ 545.000,Rua Jamanari,100 m²,3 quartos,2 vagas, Vila Andrade
R$ 530.000,Rua Alexandre Benois,60 m²,3 quartos,2 vagas, Vila Andrade
R$ 1.300.000,Rua José de Oliveira Coelho,213 m²,4 quartos,4 vagas, Vila Andrade
R$ 630.000,Rua Doutor Oscar Monteiro de Barros,139 m²,3 quartos,3 vagas, Vila Andrade
R$ 1.100.000,Rua Itajara,160 m²,3 quartos,3 vagas, Vila Andrade
R$ 970.000,Rua David Gebara,400 m²,5 quartos,6 vagas, Vila Andrade
R$ 350.000,Rua Lydia Damus Maksoud,70 m²,2 quartos,1 vaga, Vila Andrade
"R$ 338.433,07",Avenida Giovanni Gronchi,70 m²,2 quartos,2 vagas, Vila Andrade
R$ 1.450.000,Rua Raimundo Simão de Souza,170 m²,3 quartos,3 vagas, Vila Andrade
R$ 443.000,Avenida Doutor Guilherme Dumont Villares,80 m²,2 quartos,1 vaga, Vila Andrade
R$ 1.400.000,Rua Professor Alexandre Correia,213 m²,4 quartos,4 vagas, Vila Andrade
R$ 800.000,Rua Professor Hilário Veiga de Carvalho,140 m²,3 quartos,3 vagas, Vila Andrade
R$ 720.000,Rua do Ângulo,128 m²,3 quartos,2 vagas, Vila Andrade
R$ 439.000,Avenida Doutor Guilherme Dumont Villares,92 m²,3 quartos,2 vagas, Vila Andrade
R$ 450.000,Rua Fábio Lopes dos Santos Luz,40 m²,1 quarto,1 vaga, Vila Andrade
R$ 515.000,Rua José Carlos de Toledo Piza,70 m²,2 quartos,1 vaga, Vila Andrade
R$ 548.000,Rua Fábio Lopes dos Santos Luz,57 m²,2 quartos,1 vaga, Vila Andrade
R$ 310.000,Rua Cascado,51 m²,2 quartos,1 vaga, Vila Andrade
R$ 2.500.000,Rua João Simões de Souza,263 m²,4 quartos,3 vagas, Vila Andrade
R$ 1.100.000,Rua Almansa,164 m²,3 quartos,3 vagas, Vila Andrade
R$ 435.000,Rua Doutor Laerte Setúbal,70 m²,3 quartos,1 vaga, Vila Andrade
R$ 590.000,Rua Ventura Ladalardo,70 m²,2 quartos,1 vaga, Vila Andrade
R$ 2.500.000,Rua Maria Antônia Ladalardo,251 m²,4 quartos,3 vagas, Vila Andrade
R$ 370.000,Rua do Símbolo,115 m²,3 quartos,1 vaga, Vila Andrade
R$ 280.000,Rua Dom Salomão Ferraz,57 m²,2 quartos,1 vaga, Vila Andrade
R$ 375.000,Rua da Chibata,59 m²,2 quartos,1 vaga, Vila Andrade
"R$ 359.343,23",Rua Itaiteva,50 m²,2 quartos,1 vaga, Vila Andrade
R$ 325.500,Avenida Giovanni Gronchi,93 m²,2 quartos,2 vagas, Vila Andrade
R$ 532.000,Rua Itamatai,75 m²,3 quartos,2 vagas, Vila Andrade
R$ 405.000,Rua Marie Nader Calfat,60 m²,2 quartos,1 vaga, Vila Andrade
R$ 450.000,Rua José Carlos de Toledo Piza,70 m²,2 quartos,1 vaga, Vila Andrade
R$ 800.000,Rua José Carlos de Toledo Piza,200 m²,3 quartos,3 vagas, Vila Andrade
R$ 650.000,Rua José Ramon Urtiza,109 m²,3 quartos,2 vagas, Vila Andrade
R$ 1.255.000,Rua Júlio Garita,160 m²,3 quartos,3 vagas, Vila Andrade
R$ 550.000,Rua Charles Spencer Chaplin,110 m²,3 quartos,2 vagas, Vila Andrade
R$ 395.000,Rua Deputado Laércio Corte,73 m²,2 quartos,1 vaga, Vila Andrade
R$ 1.600.000,Rua Doutor Chibata Miyakoshi,285 m²,4 quartos,4 vagas, Vila Andrade
R$ 1.000.000,Rua Doutor James Ferraz Alvim,270 m²,4 quartos,4 vagas, Vila Andrade
R$ 460.000,Rua do Símbolo,95 m²,3 quartos,2 vagas, Vila Andrade
R$ 590.000,Avenida Giovanni Gronchi,220 m²,3 quartos,2 vagas, Vila Andrade
R$ 440.000,Avenida José Galante,77 m²,2 quartos,2 vagas, Vila Andrade
R$ 1.100.000,Rua Oagy Kalile,247 m²,4 quartos,4 vagas, Vila Andrade
R$ 790.000,Rua Alcantarilla,132 m²,3 quartos,4 vagas, Vila Andrade
R$ 1.335.000,Avenida José Galante,257 m²,4 quartos,3 vagas, Vila Andrade
R$ 346.500,Rua Doutor Laerte Setúbal,66 m²,3 quartos,1 vaga, Vila Andrade
R$ 520.000,Rua José da Silva Ribeiro,85 m²,2 quartos,2 vagas, Vila Andrade
"R$ 431.394,55",Avenida Giovanni Gronchi,85 m²,2 quartos,2 vagas, Vila Andrade
R$ 650.000,Avenida Doutor Guilherme Dumont Villares,100 m²,2 quartos,5 vagas, Vila Andrade
R$ 640.000,Rua Doutor José de Andrade Figueira,128 m²,4 quartos,2 vagas, Vila Andrade
R$ 440.000,Rua Professor Hilário Veiga de Carvalho,67 m²,1 quarto,2 vagas, Vila Andrade
R$ 430.000,Rua Alexandre Benois,72 m²,3 quartos,2 vagas, Vila Andrade
R$ 550.000,Rua José Ramon Urtiza,110 m²,3 quartos,2 vagas, Vila Andrade
R$ 990.000,Avenida Giovanni Gronchi,225 m²,3 quartos,3 vagas, Vila Andrade
"R$ 522.765,58",Rua Alexandre Benois,72 m²,3 quartos,2 vagas, Vila Andrade
R$ 750.000,Rua Antônio Aggio,195 m²,4 quartos,3 vagas, Vila Andrade
R$ 420.000,Avenida José Galante,67 m²,2 quartos,2 vagas, Vila Andrade
R$ 800.000,Rua José da Silva Ribeiro,167 m²,4 quartos,3 vagas, Vila Andrade
R$ 450.000,Rua Alexandre Benois,68 m²,3 quartos,2 vagas, Vila Andrade
R$ 1.500.000,Rua José da Silva Ribeiro,213 m²,4 quartos,3 vagas, Vila Andrade
R$ 1.500.000,Rua Ascencional,123 m²,3 quartos,1 vaga, Vila Andrade
R$ 1.250.000,Rua Itajara,280 m²,4 quartos,4 vagas, Vila Andrade
R$ 1.280.000,Avenida José Galante,228 m²,4 quartos,4 vagas, Vila Andrade
R$ 320.000,Avenida Giovanni Gronchi,56 m²,2 quartos,2 vagas, Vila Andrade
R$ 425.000,Rua Eduardo Ambuba,85 m²,3 quartos,2 vagas, Vila Andrade
R$ 460.000,Rua Alexandre Benois,62 m²,2 quartos,1 vaga, Vila Andrade
R$ 1.200.000,Rua Iubatinga,304 m²,3 quartos,5 vagas, Vila Andrade
R$ 750.000,Rua Frederico Guarinon,160 m²,4 quartos,2 vagas, Vila Andrade
R$ 579.000,Rua Iubatinga,100 m²,4 quartos,2 vagas, Vila Andrade
R$ 550.000,Avenida Doutor Guilherme Dumont Villares,90 m²,3 quartos,2 vagas, Vila Andrade
R$ 720.000,Rua José de Oliveira Coelho,87 m²,2 quartos,2 vagas, Vila Andrade
R$ 650.000,Rua Germano Ulbrich,107 m²,3 quartos,3 vagas, Vila Andrade
R$ 950.000,Avenida José Galante,178 m²,4 quartos,3 vagas, Vila Andrade
R$ 750.000,Rua Doutor José de Andrade Figueira,120 m²,4 quartos,2 vagas, Vila Andrade
R$ 485.000,Rua Nelson Gama de Oliveira,57 m²,2 quartos,1 vaga, Vila Andrade
R$ 410.000,Rua Benedito Faber,66 m²,3 quartos,1 vaga, Vila Andrade
R$ 925.000,Avenida José Galante,176 m²,4 quartos,3 vagas, Vila Andrade
R$ 380.000,Rua José Coimbra,64 m²,2 quartos,1 vaga, Vila Andrade
"R$ 459.025,5",Rua do Símbolo,74 m²,3 quartos,2 vagas, Vila Andrade
R$ 430.000,Rua Doutor Chibata Miyakoshi,57 m²,2 quartos,2 vagas, Vila Andrade
R$ 565.000,Rua Marcus Pereira,102 m²,2 quartos,2 vagas, Vila Andrade
R$ 735.000,Rua do Símbolo,130 m²,3 quartos,3 vagas, Vila Andrade
R$ 2.460.456,Rua Frederico Guarinon,450 m²,5 quartos,3 vagas, Vila Andrade
R$ 414.000,Rua Itapimirum,46 m²,1 quarto,1 vaga, Vila Andrade
R$ 840.000,Rua Doutor Oscar Monteiro de Barros,161 m²,3 quartos,3 vagas, Vila Andrade
R$ 678.000,Rua José Ramon Urtiza,109 m²,2 quartos,2 vagas, Vila Andrade
R$ 450.000,Rua do Símbolo,94 m²,4 quartos,2 vagas, Vila Andrade
R$ 450.000,Rua Coronel Francisco de Oliveira Simões,90 m²,3 quartos,2 vagas, Vila Andrade
R$ 1.200.000,Rua José de Oliveira Coelho,116 m²,3 quartos,2 vagas, Vila Andrade
R$ 950.000,Rua Itajara,125 m²,3 quartos,2 vagas, Vila Andrade
R$ 425.000,Rua Antônio Aggio,73 m²,2 quartos,2 vagas, Vila Andrade
R$ 3.400.000,Estrada Carlos Queiroz Telles,484 m²,4 quartos,5 vagas, Vila Andrade
R$ 900.000,Rua Deputado João Sussumu Hirata,190 m²,4 quartos,4 vagas, Vila Andrade
R$ 670.000,Avenida Giovanni Gronchi,286 m²,4 quartos,3 vagas, Vila Andrade
R$ 745.000,Rua José Ramon Urtiza,110 m²,2 quartos,2 vagas, Vila Andrade
R$ 270.000,Rua Manoel Antônio Pinto,50 m²,2 quartos,1 vaga, Vila Andrade
R$ 950.000,Rua Iubatinga,178 m²,3 quartos,3 vagas, Vila Andrade
R$ 455.000,Rua da Chibata,57 m²,2 quartos,1 vaga, Vila Andrade
R$ 280.000,Avenida Giovanni Gronchi,55 m²,2 quartos,2 vagas, Vila Andrade
R$ 465.000,Rua Coronel Francisco de Oliveira Simões,83 m²,3 quartos,2 vagas, Vila Andrade
R$ 770.000,Rua Doutor Oscar Monteiro de Barros,124 m²,3 quartos,3 vagas, Vila Andrade
R$ 505.000,Rua Deputado João Sussumu Hirata,167 m²,2 quartos,2 vagas, Vila Andrade
R$ 1.100.000,Rua Alexandre Benois,254 m²,4 quartos,4 vagas, Vila Andrade
R$ 1.297.000,Avenida Giovanni Gronchi,190 m²,4 quartos,4 vagas, Vila Andrade
R$ 950.000,Rua Marcus Pereira,209 m²,4 quartos,3 vagas, Vila Andrade
R$ 590.000,Rua Antônio Aggio,117 m²,4 quartos,2 vagas, Vila Andrade
R$ 750.000,Rua Francisco Pessoa,91 m²,3 quartos,2 vagas, Vila Andrade
R$ 2.500.000,Avenida José Galante,393 m²,4 quartos,6 vagas, Vila Andrade
"R$ 348.414,15",Avenida Giovanni Gronchi,60 m²,2 quartos,2 vagas, Vila Andrade
R$ 700.000,Rua Marie Nader Calfat,150 m²,4 quartos,2 vagas, Vila Andrade
R$ 700.000,Rua Deputado João Sussumu Hirata,193 m²,3 quartos,4 vagas, Vila Andrade
R$ 320.000,Rua Francisco José da Silva,38 m²,1 quarto,1 vaga, Vila Andrade
R$ 520.000,Rua Doutor Luiz Migliano,64 m²,2 quartos,1 vaga, Vila Andrade
R$ 1.160.000,Rua Doutor James Ferraz Alvim,198 m²,4 quartos,3 vagas, Vila Andrade
R$ 430.000,Rua Benedito Faber,52 m²,1 quarto,1 vaga, Vila Andrade
R$ 750.000,Rua Frederico Guarinon,90 m²,3 quartos,2 vagas, Vila Andrade
R$ 750.000,Rua Doutor Oscar Monteiro de Barros,140 m²,3 quartos,3 vagas, Vila Andrade
R$ 695.000,Rua José da Silva Ribeiro,172 m²,3 quartos,3 vagas, Vila Andrade
R$ 1.100.000,Rua Germano Ulbrich,164 m²,3 quartos,3 vagas, Vila Andrade
R$ 338.000,Rua Deputado João Sussumu Hirata,46 m²,1 quarto,1 vaga, Vila Andrade
R$ 650.000,Avenida José Galante,130 m²,3 quartos,3 vagas, Vila Andrade
R$ 595.000,Rua do Símbolo,118 m²,4 quartos,3 vagas, Vila Andrade
R$ 950.000,Rua Desembargador Dalmo do Valle Nogueira,132 m²,3 quartos,3 vagas, Vila Andrade
R$ 1.100.000,Rua Antônio Aggio,220 m²,4 quartos,3 vagas, Vila Andrade
R$ 2.250.000,Rua Deputado Laércio Corte,336 m²,4 quartos,5 vagas, Vila Andrade
R$ 1.580.000,Rua Domingos Lopes da Silva,178 m²,3 quartos,4 vagas, Vila Andrade
R$ 640.000,Avenida José Galante,80 m²,1 quarto,2 vagas, Vila Andrade
R$ 808.734,Rua Charles Spencer Chaplin,128 m²,3 quartos,2 vagas, Vila Andrade
R$ 960.000,Rua Itajara,130 m²,3 quartos,3 vagas, Vila Andrade
R$ 310.000,Avenida Giovanni Gronchi,57 m²,2 quartos,1 vaga, Vila Andrade
R$ 367.000,Rua Maria José da Conceição,69 m²,2 quartos,1 vaga, Vila Andrade
R$ 2.150.000,Rua Deputado Laércio Corte,360 m²,3 quartos,5 vagas, Vila Andrade
R$ 890.000,Avenida Giovanni Gronchi,225 m²,4 quartos,3 vagas, Vila Andrade
R$ 750.000,Rua Antônio Aggio,226 m²,4 quartos,3 vagas, Vila Andrade
R$ 320.000,Avenida Giovanni Gronchi,56 m²,2 quartos,2 vagas, Vila Andrade
R$ 695.000,Rua Abdo Ambuba,150 m²,3 quartos,2 vagas, Vila Andrade
R$ 370.000,Rua Dom Salomão Ferraz,60 m²,2 quartos,1 vaga, Vila Andrade
R$ 600.000,Rua Dankmar Adler,112 m²,2 quartos,2 vagas, Vila Andrade
R$ 899.999,Rua Carvalho de Freitas,186 m²,3 quartos,3 vagas, Vila Andrade
R$ 800.000,Rua Deputado João Sussumu Hirata,186 m²,4 quartos,3 vagas, Vila Andrade
R$ 480.000,Rua Marie Nader Calfat,109 m²,3 quartos,2 vagas, Vila Andrade
R$ 1.250.000,Rua Itapimirum,330 m²,4 quartos,4 vagas, Vila Andrade
R$ 920.000,Rua Samia Haddad,213 m²,3 quartos,3 vagas, Vila Andrade
R$ 350.000,Rua José Carlos de Toledo Piza,69 m²,2 quartos,1 vaga, Vila Andrade
R$ 990.000,Rua Iubatinga,250 m²,4 quartos,4 vagas, Vila Andrade
R$ 650.000,Rua Almansa,96 m²,2 quartos,2 vagas, Vila Andrade
R$ 278.000,Rua Doutor Laerte Setúbal,66 m²,3 quartos,1 vaga, Vila Andrade
R$ 290.000,Rua Francisco José da Silva,38 m²,1 quarto,1 vaga, Vila Andrade
R$ 1.300.000,Estrada Carlos Queiroz Telles,245 m²,4 quartos,4 vagas, Vila Andrade
R$ 360.000,Rua da Chibata,55 m²,2 quartos,1 vaga, Vila Andrade
R$ 1.380.000,Rua Jandiatuba,160 m²,1 quarto,2 vagas, Vila Andrade
R$ 490.000,Rua Desembargador Dalmo do Valle Nogueira,86 m²,3 quartos,3 vagas, Vila Andrade
R$ 1.000.000,Rua Raimundo Simão de Souza,240 m²,4 quartos,3 vagas, Vila Andrade
R$ 270.000,Rua Manoel Antônio Pinto,51 m²,2 quartos,1 vaga, Vila Andrade
R$ 425.000,Rua Benedito Faber,67 m²,2 quartos,2 vagas, Vila Andrade
R$ 1.440.000,Rua Jamanari,200 m²,4 quartos,3 vagas, Vila Andrade
R$ 700.000,Rua Marie Nader Calfat,147 m²,4 quartos,3 vagas, Vila Andrade
R$ 330.000,Avenida Giovanni Gronchi,60 m²,2 quartos,1 vaga, Vila Andrade
R$ 330.000,Rua Deputado João Sussumu Hirata,46 m²,1 quarto,1 vaga, Vila Andrade
R$ 380.000,Rua Doutor Oscar Monteiro de Barros,62 m²,2 quartos,2 vagas, Vila Andrade
R$ 465.000,Rua José da Silva Ribeiro,69 m²,2 quartos,2 vagas, Vila Andrade
R$ 350.000,Avenida Giovanni Gronchi,68 m²,2 quartos,2 vagas, Vila Andrade
R$ 1.200.000,Rua Antônio Aggio,198 m²,4 quartos,3 vagas, Vila Andrade
R$ 540.000,Rua Marie Nader Calfat,66 m²,2 quartos,1 vaga, Vila Andrade
R$ 325.000,Avenida Giovanni Gronchi,60 m²,1 quarto,1 vaga, Vila Andrade
R$ 960.000,Rua Itajara,288 m²,4 quartos,5 vagas, Vila Andrade
R$ 910.000,Rua Doutor James Ferraz Alvim,200 m²,4 quartos,3 vagas, Vila Andrade
R$ 695.000,Rua Iupeba,144 m²,4 quartos,3 vagas, Vila Andrade
R$ 330.000,Avenida Giovanni Gronchi,64 m²,3 quartos,2 vagas, Vila Andrade
R$ 1.100.000,Rua Doutor James Ferraz Alvim,270 m²,4 quartos,4 vagas, Vila Andrade
R$ 850.000,Rua Nelson Gama de Oliveira,132 m²,4 quartos,2 vagas, Vila Andrade
R$ 440.000,Rua Francisco Pessoa,55 m²,2 quartos,1 vaga, Vila Andrade
R$ 800.000,Avenida Giovanni Gronchi,150 m²,3 quartos,3 vagas, Vila Andrade
R$ 369.800,Rua José da Silva Ribeiro,51 m²,1 quarto,1 vaga, Vila Andrade
R$ 670.000,Rua Itamatai,143 m²,4 quartos,2 vagas, Vila Andrade
R$ 300.000,Rua Dom Salomão Ferraz,58 m²,2 quartos,1 vaga, Vila Andrade
"R$ 297.014,53",Rua Doutor Chibata Miyakoshi,55 m²,1 quarto,1 vaga, Vila Andrade
R$ 1.180.000,Rua Diego de Castilho,217 m²,4 quartos,3 vagas, Vila Andrade
R$ 415.000,Rua Doutor Laerte Setúbal,67 m²,3 quartos,1 vaga, Vila Andrade
R$ 365.000,Rua Marie Nader Calfat,40 m²,1 quarto,1 vaga, Vila Andrade
R$ 260.000,Rua Doutor Chibata Miyakoshi,34 m²,1 quarto,1 vaga, Vila Andrade
R$ 835.000,Rua Desembargador Dalmo do Valle Nogueira,136 m²,3 quartos,3 vagas, Vila Andrade
R$ 370.000,Rua Domingos Lopes da Silva,53 m²,1 quarto,1 vaga, Vila Andrade
R$ 1.000.000,Rua Professor Hilário Veiga de Carvalho,176 m²,3 quartos,3 vagas, Vila Andrade
R$ 1.400.000,Rua José Ramon Urtiza,174 m²,3 quartos,3 vagas, Vila Andrade
R$ 960.000,Rua Professor Hilário Veiga de Carvalho,178 m²,4 quartos,3 vagas, Vila Andrade
